"Plot Title: FL_Keys_Tank3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20663196, SEN S/N: 20663196, LBL: FL_Keys_Tank3)","Coupler Detached (LGR S/N: 20663196)","Bad Battery (LGR S/N: 20663196)","Good Battery (LGR S/N: 20663196)","Coupler Attached (LGR S/N: 20663196)","Host Connected (LGR S/N: 20663196)","Stopped (LGR S/N: 20663196)","End Of File (LGR S/N: 20663196)"
303,06/06/21 07:01:39 PM,33.430,,,,,,,
304,06/06/21 07:02:39 PM,33.430,,,,,,,
305,06/06/21 07:03:39 PM,33.430,,,,,,,
306,06/06/21 07:04:39 PM,33.430,,,,,,,
307,06/06/21 07:05:39 PM,33.430,,,,,,,
308,06/06/21 07:06:39 PM,33.430,,,,,,,
309,06/06/21 07:07:39 PM,33.430,,,,,,,
310,06/06/21 07:08:39 PM,33.326,,,,,,,
311,06/06/21 07:09:39 PM,33.326,,,,,,,
312,06/06/21 07:10:39 PM,33.222,,,,,,,
313,06/06/21 07:11:39 PM,33.222,,,,,,,
314,06/06/21 07:12:39 PM,33.118,,,,,,,
315,06/06/21 07:13:39 PM,33.118,,,,,,,
316,06/06/21 07:14:39 PM,33.014,,,,,,,
317,06/06/21 07:15:39 PM,33.014,,,,,,,
318,06/06/21 07:16:39 PM,32.911,,,,,,,
319,06/06/21 07:17:39 PM,32.911,,,,,,,
320,06/06/21 07:18:39 PM,32.807,,,,,,,
321,06/06/21 07:19:39 PM,32.704,,,,,,,
322,06/06/21 07:20:39 PM,32.704,,,,,,,
323,06/06/21 07:21:39 PM,32.704,,,,,,,
324,06/06/21 07:22:39 PM,32.600,,,,,,,
325,06/06/21 07:23:39 PM,32.600,,,,,,,
326,06/06/21 07:24:39 PM,32.600,,,,,,,
327,06/06/21 07:25:39 PM,32.704,,,,,,,
328,06/06/21 07:26:39 PM,32.807,,,,,,,
329,06/06/21 07:27:39 PM,32.911,,,,,,,
330,06/06/21 07:28:39 PM,33.014,,,,,,,
331,06/06/21 07:29:39 PM,33.118,,,,,,,
332,06/06/21 07:30:39 PM,33.222,,,,,,,
333,06/06/21 07:31:39 PM,33.222,,,,,,,
334,06/06/21 07:32:39 PM,33.326,,,,,,,
335,06/06/21 07:33:39 PM,33.326,,,,,,,
336,06/06/21 07:34:39 PM,33.326,,,,,,,
337,06/06/21 07:35:39 PM,33.326,,,,,,,
