Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R1	17548426	6047171	17548426	2632263900	1283058	2576084833	2.134249039391529
20210608T1400_CBASS_US_MoteIn_Past_6_only_seq_RNASeq_R2	17548426	6049866	17548426	2632263900	2133633	2575328274	2.162990800428483
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R1	26912788	9007061	26912788	4036918200	2295989	4016446570	0.507110349672183
20210608T1400_CBASS_US_MoteIn_Past_7_30_1140_RNASeq_R2	26912788	8992279	26912788	4036918200	3553315	4015332839	0.5346989939008425
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R1	13434515	5460749	13434515	2015177250	1001590	1814629678	9.951857683982885
20210608T1400_CBASS_US_MoteIn_Past_7_30_180_RNASeq_R2	13434515	5457758	13434515	2015177250	1778732	1814299470	9.968243736376044
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R1	18113631	6155260	18113631	2717044650	1589365	2701537229	0.5707459021698448
20210608T1400_CBASS_US_MoteIn_Past_7_30_360_RNASeq_R2	18113631	6172958	18113631	2717044650	2534638	2700699415	0.6015813910161543
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R1	17298607	5702358	17298607	2594791050	749674	2581722881	0.5036308800278928
20210608T1400_CBASS_US_MoteIn_Past_7_30_420_RNASeq_R2	17298607	5740214	17298607	2594791050	1392408	2581059676	0.5291899708070906
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R1	17840002	6139206	17840002	2676000300	1580399	2659026609	0.6342933145411083
20210608T1400_CBASS_US_MoteIn_Past_7_30_750_RNASeq_R2	17840002	6123987	17840002	2676000300	2236543	2658452211	0.655758110341019
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R1	24005580	8102503	24005580	3600837000	1948534	3581648864	0.5328798832049326
20210608T1400_CBASS_US_MoteIn_Past_7_34_1140_RNASeq_R2	24005580	8080231	24005580	3600837000	2969530	3580722866	0.5585960708579699
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R1	19536417	7341995	19536417	2930462550	1374889	2788234662	4.853427934098662
20210608T1400_CBASS_US_MoteIn_Past_7_34_180_RNASeq_R2	19536417	7347275	19536417	2930462550	2356181	2787623865	4.874270957668441
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R1	15770977	5134632	15770977	2365646550	1300265	2348042665	0.7441468802683139
20210608T1400_CBASS_US_MoteIn_Past_7_34_360_RNASeq_R2	15770977	5146165	15770977	2365646550	1870127	2347642528	0.7610613681912879
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R1	16083663	5404164	16083663	2412549450	1102944	2397042397	0.6427662239213376
20210608T1400_CBASS_US_MoteIn_Past_7_34_420_RNASeq_R2	16083663	5394863	16083663	2412549450	1507156	2396874462	0.6497271175104825
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R1	19977433	6785931	19977433	2996614950	1415921	2978212118	0.6141206763985476
20210608T1400_CBASS_US_MoteIn_Past_7_34_750_RNASeq_R2	19977433	6774984	19977433	2996614950	1981813	2977748379	0.6295961047648114
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R1	16021283	5593508	16021283	2403192450	2898138	2381629906	0.8972458281483033
20210608T1400_CBASS_US_MoteIn_Past_7_37_1140_RNASeq_R2	16021283	5571219	16021283	2403192450	2456294	2382330600	0.8680890288249699
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R1	21763503	10162809	21763503	3264525450	1377404	2739681266	16.07719688630395
20210608T1400_CBASS_US_MoteIn_Past_7_37_180_RNASeq_R2	21763503	10164292	21763503	3264525450	3235574	2739674417	16.07740668708832
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R1	16518211	6222180	16518211	2477731650	2003449	2455404380	0.9011173586937876
20210608T1400_CBASS_US_MoteIn_Past_7_37_360_RNASeq_R2	16518211	6225317	16518211	2477731650	2343821	2455095729	0.9135743574167928
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R1	23308412	8589486	23308412	3496261800	3485654	3467433855	0.8245362232313381
20210608T1400_CBASS_US_MoteIn_Past_7_37_420_RNASeq_R2	23308412	8566950	23308412	3496261800	4215849	3466911679	0.8394714892345877
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R1	15394642	5372433	15394642	2309196300	2059212	2295551330	0.5908969280783968
20210608T1400_CBASS_US_MoteIn_Past_7_37_750_RNASeq_R2	15394642	5360733	15394642	2309196300	2408945	2295311230	0.6012944850119498
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R1	28190671	15868223	28190671	4228600650	4545450	2975972142	29.622766765643853
20210608T1400_CBASS_US_MoteIn_Past_7_39_1140_RNASeq_R2	28190671	15757111	28190671	4228600650	5573852	2976851256	29.601977051202503
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R1	11898569	6174391	11898569	1784785350	820014	1377162144	22.838780360898863
20210608T1400_CBASS_US_MoteIn_Past_7_39_180_RNASeq_R2	11898569	6178209	11898569	1784785350	2010225	1376877651	22.8547202608986
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R1	5448716	2127276	5448716	817307400	1038996	783677554	4.114712041026424
20210608T1400_CBASS_US_MoteIn_Past_7_39_360_RNASeq_R2	5448716	2141521	5448716	817307400	1007510	781562616	4.373481018280271
