Sample_ID	Novogene_R
2MAc62-L-T2	R444
2MAcCM5-L-T2	R445
2MAc07-M-T2	R446
2MAc31-M-T2	R447
2MAc34-M-T2	R448
2MAc41-M-T2	R449
2MAc48-M-T2	R450
2MAc50-M-T2	R451
2MAc62-M-T2	R452
2MAcCM5-M-T2	R453
2MAc07-H-T2	R454
2MAc31-H-T2	R455
2MAc34-H-T2	R456
2MAc41-H-T2	R457
2MAc48-H-T2	R458
2MAc50-H-T2	R459
2MAc62-H-T2	R460
2MAcCM5-H-T2	R461
2MAc07-C-T3	R462
2MAc31-C-T3	R463
2MAc34-C-T3	R464
2MAc41-C-T3	R465
2MAc48-C-T3	R466
2MAc50-C-T3	R467
2MAc62-C-T3	R468
2MAcCM5-C-T3	R469
2MAc07-L-T3	R470
2MAc31-L-T3	R471
2MAc34-L-T3	R472
2MAc41-L-T3	R473
2MAc48-L-T3	R474
2MAc50-L-T3	R475
2MAc62-L-T3	R476
2MAcCM5-L-T3	RE142
2MAc07-M-T3	RE143
2MAc31-M-T3	RE144
2MAc34-M-T3	RE145
2MAc41-M-T3	RE146
2MAc48-M-T3	RE147
2MAc50-M-T3	RE148
2MAc62-M-T3	RE149
2MAcCM5-M-T3	RE150
2MAc07-H-T3	RE151
2MAc31-H-T3	RE152
2MAc34-H-T3	RE153
2MAc41-H-T3	RE154
2MAc48-H-T3	RE155
2MAc50-H-T3	RE156
2MAc62-H-T3	RE157
2MAcCM5-H-T3	RE158
2MAc07-C-T4	RE159
2MAc31-C-T4	RE160
2MAc34-C-T4	RE161
2MAc41-C-T4	RE162
2MAc48-C-T4	RE163
2MAc50-C-T4	RE164
2MAc62-C-T4	RE165
2MAcCM5-C-T4	RE166
2MAc07-L-T4	RE167
2MAc31-L-T4	RE168
2MAc34-L-T4	RE169
2MAc41-L-T4	RE170
2MAc48-L-T4	RE171
2MAc50-L-T4	RE172
2MAc62-L-T4	RE173
2MAcCM5-L-T4	RE174
2MAc07-M-T4	RE175
2MAc31-M-T4	RE176
2MAc34-M-T4	RE177
2MAc41-M-T4	RE178
2MAc48-M-T4	RE179
2MAc50-M-T4	RE180
2MAc62-M-T4	RE181
2MAcCM5-M-T4	RE182
2MAc07-H-T4	RE183
2MAc31-H-T4	RE184
2MAc34-H-T4	RE185
2MAc41-H-T4	RE186
2MAc48-H-T4	RE187
2MAc50-H-T4	RE188
2MAc62-H-T4	RE189
2MAcCM5-H-T4	RE190
2MAc07-C-T5	RE191
2MAc31-C-T5	RE192
2MAc34-C-T5	RE193
2MAc41-C-T5	RE194
2MAc48-C-T5	RE195
2MAc50-C-T5	RE196
2MAcCM5-C-T5	RE197
2MAc62-C-T5	RE198
2MAc07-L-T5	RE199
2MAc31-L-T5	RE200
2MAc34-L-T5	RR143
2MAc41-L-T5	RR144
2MAc48-L-T5	RR145
2MAc50-L-T5	RR146
2MAc62-L-T5	RR147
2MAcCM5-L-T5	RR148
2MAc07-M-T5	RR149
2MAc31-M-T5	RR150
2MAc34-M-T5	RR151
2MAc41-M-T5	RR152
2MAc48-M-T5	RR153
2MAc50-M-T5	RR154
2MAc62-M-T5	RR155
2MAcCM5-M-T5	RR156
2MAc07-H-T5	RR157
2MAc31-H-T5	RR158
2MAc34-H-T5	RR159
2MAc41-H-T5	RR160
2MAc48-H-T5	RR161
2MAc50-H-T5	RR162
